사례수 (명),전용 앱 구매 (%),쇼핑몰 홈페이지/카페 등 인터넷 접속을 통한 온라인구매 (%),사례수 (명),전용 앱 구매 (%),쇼핑몰 홈페이지/카페 등 인터넷 접속을 통한 온라인구매 (%),사례수 (명),전용 앱 구매 (%),쇼핑몰 홈페이지/카페 등 인터넷 접속을 통한 온라인구매 (%),사례수 (명),전용 앱 구매 (%),쇼핑몰 홈페이지/카페 등 인터넷 접속을 통한 온라인구매 (%),사례수 (명),전용 앱 구매 (%),쇼핑몰 홈페이지/카페 등 인터넷 접속을 통한 온라인구매 (%),사례수 (명),전용 앱 구매 (%),쇼핑몰 홈페이지/카페 등 인터넷 접속을 통한 온라인구매 (%),사례수 (명),전용 앱 구매 (%),쇼핑몰 홈페이지/카페 등 인터넷 접속을 통한 온라인구매 (%),사례수 (명),전용 앱 구매 (%),쇼핑몰 홈페이지/카페 등 인터넷 접속을 통한 온라인구매 (%)
57.3,77.7,22.3,292.1,61.2,38.8,14.4,65.0,35.0,45.6,80.8,19.2,48.6,75.9,24.1,261.0,88.5,11.5,19.1,92.8,7.2,55.9,97.8,2.2
"1,168.5",78.0,22.0,"3,755.9",69.9,30.1,754.9,65.6,34.4,744.6,83.5,16.5,"1,061.6",82.0,18.0,"3,770.3",74.6,25.4,784.6,59.9,40.1,891.4,93.2,6.8
26.3,74.0,26.0,99.3,53.6,46.4,12.6,63.5,36.5,21.7,47.0,53.0,16.7,87.0,13.0,106.1,53.5,46.5,16.7,60.4,39.6,15.5,81.7,18.3
141.0,78.2,21.8,379.1,64.8,35.2,39.5,61.6,38.4,77.6,70.5,29.5,112.7,78.5,21.5,392.0,68.0,32.0,44.3,56.0,44.0,76.4,85.7,14.3
19.9,70.8,29.2,40.3,59.2,40.8,1.1,100.0,0.0,5.2,38.8,61.2,10.1,98.4,1.6,27.9,85.5,14.5,0.7,100.0,0.0,3.1,85.6,14.4
476.8,75.9,24.1,"1,664.3",67.9,32.1,261.2,68.4,31.6,361.9,83.3,16.7,439.9,85.0,15.0,"1,679.4",76.0,24.0,265.2,55.3,44.7,439.0,90.0,10.0
49.4,68.7,31.3,194.6,59.5,40.5,27.1,46.9,53.1,36.9,75.8,24.2,43.5,64.5,35.5,199.0,75.3,24.7,59.8,47.2,52.8,64.6,74.3,25.7
264.0,67.8,32.2,787.8,69.9,30.1,213.2,57.3,42.7,182.2,78.3,21.7,198.7,72.5,27.5,733.2,63.3,36.7,203.3,60.5,39.5,191.5,94.3,5.7
415.3,84.8,15.2,"1,326.0",73.3,26.7,346.2,68.3,31.7,251.9,80.7,19.3,429.4,85.9,14.1,"1,412.2",76.2,23.8,345.3,59.8,40.2,362.5,95.3,4.7
161.9,76.5,23.5,456.7,73.6,26.4,59.8,60.5,39.5,109.7,86.1,13.9,135.7,85.5,14.5,415.9,76.5,23.5,69.9,50.3,49.7,74.2,94.8,5.2
239.3,84.8,15.2,697.5,63.5,36.5,83.0,72.0,28.0,146.3,84.9,15.1,200.2,78.0,22.0,703.0,74.9,25.1,104.4,60.8,39.2,179.6,91.3,8.7
20.4,43.4,56.6,50.9,82.5,17.5,5.2,18.8,81.2,8.6,82.4,17.6,18.5,100.0,0.0,41.7,75.7,24.3,2.2,61.9,38.1,3.8,46.3,53.7
39.1,61.5,38.5,219.8,62.5,37.5,19.9,100.0,0.0,28.4,93.1,6.9,45.6,92.3,7.7,241.4,73.5,26.5,27.9,86.5,13.5,30.9,95.3,4.7
74.1,70.3,29.7,323.0,60.2,39.8,33.1,77.7,22.3,56.5,65.8,34.2,66.0,89.6,10.4,340.4,68.5,31.5,20.7,71.6,28.4,48.3,86.9,13.1
92.1,84.4,15.6,207.4,69.5,30.5,20.6,70.7,29.3,28.1,89.5,10.5,63.5,79.1,20.9,197.8,86.5,13.5,12.8,72.8,27.2,22.2,94.4,5.6
0,0,0,10.8,91.3,8.7,0,0,0,0.4,100.0,0.0,0,0,0,11.7,96.1,3.9,0,0,0,8.6,100.0,0.0
60.4,76.3,23.7,678.3,65.6,34.4,127.0,65.8,34.2,162.9,79.0,21.0,46.2,81.2,18.8,702.0,75.1,24.9,134.5,61.4,38.6,220.4,89.7,10.3
375.1,76.5,23.5,746.1,69.9,30.1,101.8,73.9,26.1,156.4,85.6,14.4,361.0,84.9,15.1,739.1,75.3,24.7,101.1,53.1,46.9,186.9,90.0,10.0
1.5,0.0,100.0,6.9,77.8,22.2,1.6,100.0,0.0,2.9,100.0,0.0,0,0,0,17.6,81.4,18.6,4.8,15.9,84.1,1.1,71.0,29.0
39.7,72.2,27.8,232.8,67.3,32.7,30.8,59.5,40.5,39.6,90.6,9.4,32.8,91.7,8.3,220.7,81.0,19.0,24.7,38.9,61.1,30.7,93.5,6.5
311.5,76.0,24.0,"1,156.5",74.1,25.9,190.9,67.7,32.3,210.1,84.8,15.2,281.9,83.6,16.4,"1,176.7",81.5,18.5,208.0,61.4,38.6,258.9,88.7,11.3
"1,046.1",79.7,20.3,"3,404.0",67.9,32.1,658.3,64.3,35.7,706.6,82.3,17.7,927.1,83.4,16.6,"3,440.9",74.0,26.0,617.4,57.7,42.3,812.3,91.8,8.2
410.9,74.4,25.6,"1,262.3",67.2,32.8,198.7,71.3,28.7,268.2,79.8,20.2,399.2,85.7,14.3,"1,215.9",71.9,28.1,270.7,60.3,39.7,331.4,93.3,6.7
58.4,69.5,30.5,104.7,52.9,47.1,20.4,57.5,42.5,23.5,59.3,40.7,29.6,19.5,80.5,134.0,37.0,63.0,14.1,35.6,64.4,22.0,99.6,0.4
5.7,8.1,91.9,11.3,42.5,57.5,1.1,100.0,0.0,2.5,100.0,0.0,3.4,17.2,82.8,8.2,96.8,3.2,1.2,23.4,76.6,0.9,100.0,0.0
229.7,83.3,16.7,728.7,68.9,31.1,110.6,66.8,33.2,174.2,91.4,8.6,244.9,86.3,13.7,780.3,82.3,17.7,158.6,60.0,40.0,206.1,93.3,6.7
233.1,65.7,34.3,711.1,69.2,30.8,121.6,63.5,36.5,159.5,73.4,26.6,298.6,80.5,19.5,954.6,71.5,28.5,118.2,59.4,40.6,148.6,88.9,11.1
"1,241.7",78.5,21.5,"4,015.9",68.0,32.0,759.1,67.1,32.9,791.5,83.3,16.7,"1,027.5",82.7,17.3,"3,934.8",73.3,26.7,781.9,58.4,41.6,997.6,91.6,8.4
74.2,79.0,21.0,258.7,74.2,25.8,38.6,62.4,37.6,42.9,68.2,31.8,46.6,80.9,19.1,223.0,73.8,26.2,41.5,59.8,40.2,43.5,90.2,9.8
